year,datasetName,status,count
1961,corona2,download,1
1961,corona2,order,72
1962,corona2,download,1
1962,corona2,order,54
1963,corona2,download,21
1963,corona2,order,105
1964,corona2,download,7
1964,corona2,order,237
1965,corona2,order,118
1967,corona2,order,83
1969,corona2,order,16
1971,corona2,download,1
1971,corona2,order,57
1972,declassiii,order,112
1973,declassiii,download,5
1973,declassiii,order,81
1975,declassiii,download,10
1975,declassiii,order,162
1976,declassii,download,10
1976,declassii,order,12
1976,declassiii,download,2
1976,declassiii,order,77
1977,declassii,download,8
1977,declassii,order,10
1977,declassiii,order,23
1979,declassiii,order,17
1980,declassii,order,6
1980,declassiii,order,136
1982,declassiii,download,2
1982,declassiii,order,249
1983,declassiii,order,64
1984,declassiii,download,1
1984,declassiii,order,42
